,method,REMOVING_DUPLICATE_PRECONDITIONS_(VIA_SMT)_LOC,REMOVING_DUPLICATE_PRECONDITIONS_(VIA_SMT)_TS,REMOVING_IMPOSSIBLE_SPECIFICATION_CASES_(VIA_SMT)_LOC,REMOVING_IMPOSSIBLE_SPECIFICATION_CASES_(VIA_SMT)_TS,PERFORMING_LEXICAL_SUBSTITUTIONS_LOC,PERFORMING_LEXICAL_SUBSTITUTIONS_TS,PERFORMING_LEXICAL_SUBSTITUTIONS_II_LOC,PERFORMING_LEXICAL_SUBSTITUTIONS_II_TS,REMOVING_TAUTOLOGIES_OF_LOC,REMOVING_TAUTOLOGIES_OF_TS,REMOVING_CONTRADICTIONS_OF_LOC,REMOVING_CONTRADICTIONS_OF_TS,PRUNING_USELESS_CLAUSES_OF_LOC,PRUNING_USELESS_CLAUSES_OF_TS,REMOVING_DEAD_ASSIGNMENTS_OF_LOC,REMOVING_DEAD_ASSIGNMENTS_OF_TS,PERFORMING_OPTIMIZED_PREMAP_BLOCK_SUBSTITUTIONS_LOC,PERFORMING_OPTIMIZED_PREMAP_BLOCK_SUBSTITUTIONS_TS,PERFORMING_ALL_PREMAP_BLOCK_SUBSTITUTIONS_LOC,PERFORMING_ALL_PREMAP_BLOCK_SUBSTITUTIONS_TS,REMOVING_LOCALS_OF_LOC,REMOVING_LOCALS_OF_TS,REMOVING_SPEC_PUBLIC_OF_LOC,REMOVING_SPEC_PUBLIC_OF_TS,DOING_BACKWARDS_PROPAGATION_OF_LOC,DOING_BACKWARDS_PROPAGATION_OF_TS,SIMPLIFYING_LABELS_OF_LOC,SIMPLIFYING_LABELS_OF_TS,REMOVING_DUPLICATE_ASSIGNMENTS_OF_LOC,REMOVING_DUPLICATE_ASSIGNMENTS_OF_TS,FIXING_RESULTS_LOC,FIXING_RESULTS_TS,CLEANING_PRESTATE_ASSIGNABLES_LOC,CLEANING_PRESTATE_ASSIGNABLES_TS,REMOVING_USELESS_POSTCONDITIONS_LOC,REMOVING_USELESS_POSTCONDITIONS_TS,PRUNING_USELESS_CLAUSES_II_OF_LOC,PRUNING_USELESS_CLAUSES_II_OF_TS,ADDING_PURITY_LOC,ADDING_PURITY_TS,REDUCTION_ANALYSIS_LOC,REDUCTION_ANALYSIS_TS
42,"org.json.JSONArray.put(int,long)",-1,-1,-1,-1,157,46,157,46,126,0,64,0,49,1,49,387,49,47,49,0,44,0,44,1,44,0,44,0,36,0,36,3,28,1,28,0,24,0,24,0,20,1
43,"org.json.JSONArray.put(int,java.util.Map<?,?>)",-1,-1,-1,-1,91,18,91,18,91,0,91,0,91,0,91,222,91,27,91,0,84,0,84,0,84,0,84,0,60,1,60,1,48,0,48,0,48,0,48,0,34,1
44,org.json.JSONArray.toString(),-1,-1,-1,-1,11,2,11,2,11,0,11,0,11,0,11,254,11,2,11,0,11,0,11,0,11,0,11,0,8,0,8,0,6,0,6,0,6,0,6,0,6,0
45,org.json.JSONArray.toString(int),-1,-1,-1,-1,93,32,93,32,75,0,42,0,37,0,37,275,37,31,37,0,32,1,32,0,32,0,32,0,20,0,20,1,12,0,12,0,12,0,12,0,10,1
46,org.json.JSONArray.write(java.io.Writer),-1,-1,-1,-1,21,2,21,2,21,0,21,0,21,0,21,174,21,4,21,0,18,1,18,0,18,0,18,0,16,0,16,0,12,0,12,0,12,0,12,0,10,1
47,org.json.JSONObject.Null.Null(),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,org.json.JSONObject.Null.clone(),-1,-1,-1,-1,6,1,6,1,6,0,6,0,6,0,6,92,6,2,6,0,6,0,6,0,6,0,6,0,6,1,6,0,6,0,6,0,6,0,6,0,6,1
49,org.json.JSONObject.Null.equals(java.lang.Object),13,0,7,302,7,0,13,0,13,0,13,0,13,8,13,15,13,1,13,0,13,1,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,1,13,0,15,0
50,org.json.JSONObject.Null.toString(),9,0,9,0,9,1,9,1,9,0,9,0,9,0,9,18,9,1,9,0,7,0,7,0,7,0,7,0,5,0,5,0,5,0,5,0,5,0,5,0,5,1
51,org.json.JSONObject.JSONObject(),-1,-1,-1,-1,133,9,133,9,105,0,52,0,37,0,37,76,37,9,37,0,31,0,31,0,31,0,31,0,25,0,24,1,24,0,4,0,4,0,4,0,-1,-1
